Назва організації,Statement,Напрям діяльності,Опис діяльності організації
TaskCall,https://www.linkedin.com/feed/update/urn:li:activity:6906966759484837888/,ІТ,TaskCall - це служба реагування на інциденти та управління ними. Надає бещкоштовний доступ
Usetiful,https://twitter.com/usetiful_tours/status/1499839991513595909,,Usetiful Premium надає безкоштовний доступ
Shopify,https://news.shopify.com/supporting-ukraine,,"Shopify не стягуватиме плату з  українських продавців та партнерів, а також надасть гуманітарну допомогу біженцям через  партнера Flexport"
ShoppingGives,https://www.linkedin.com/posts/shoppinggives_supportukraine-nowar-activity-6902998130703634432-KtY9/,,Сервіс через який йде гумінатрана допомога від покупки будь-якого товару( послуги) Україні
Sanity.io,https://www.linkedin.com/posts/sanity-io_techforukraine-activity-6904815665664917504-OyOK/,,"Найуніверсальніша система для створення та розповсюдження цифрового контенту на будь-який пристрій, програму або канал"
TunnelBear,https://twitter.com/theTunnelBear/status/1497277768819695624,VPN,Надали 10 ГБ трафіку для українців
Stripo,https://stripo.email/ru/blog/russian-aggression-in-ukraine/,,Підтримка України від Stripo
Livestorm,https://livestorm.co/blog/support-for-ukraine,Video Conference,Надає безкоштовне програмне забезпечення для відеоконференцій
WellPaid,https://www.getwellpaid.com/,Messenger,Універсальний менеджер підписки для домогосподарств.Сервіс обміну.
CallHub,callhub.io,Marketing,Програмне забезпечення для SMS-маркетингу
LOOQME,facebook.com/looqme,SEO,"Платформа для збору і аналізу згадок в online та offline ЗМІ, інтернеті та соцмережах."
OpenPhone,https://www.linkedin.com/posts/openphone_standwithukraine-supportukraine-activity-6905292630780178432-n9f4/?utm_source=linkedin_share&utm_medium=member_desktop_web,Telephony,Новий вид бізнес-телефону
Gigasheet,gigasheet.co,databases,Створення програмного забезпечення для аналізу великих баз даних
Reply.io,https://reply.io/,,"Reply — це платформа для залучення до продажу, яка допомагає автоматизувати та масштабувати багатоканальне охоплення, щоб ви могли генерувати більше лідів, залучати нових клієнтів та швидше збільшувати дохід. На даний момент Reply є членом української технологічної спільноти яка збирає кошти на допомогу Україні"
HotelFriend,https://www.linkedin.com/posts/hotelfriend_standwithukraine-helpukraine-ukraine-activity-6912740638971072512-U9yu/?utm_source=linkedin_share&utm_medium=member_desktop_web,ІТ,HotelFriend надав готельєрам понад 10 готових до використання програмних продуктів на одній платформі
MindInventory,https://www.mindinventory.com/,,Сервіс по розробці веб-додатків та мобільних додатків
Sygic,https://twitter.com/SygicOfficial/status/1498654499568824330?s=20&t=HiApv8nF3vY4xDNBhVgFxA,,Безкоштовний доступ Premium+ до ресурсу. Користування GPS-навигациями
Productboard,https://www.linkedin.com/posts/productboard_i-along-with-the-team-at-productboard-condemn-activity-6904469288879820800-0kFC/,Product Management,Домога Україні та українцям
Approval Studio,https://approval.studio/blog/approval-studio-stands-with-ukraine/,,"Approval Studio - це система для ефективного затвердження будь-якого виду дизайну, що має всі функції для спрощення процесу перевірки вашого проекту. на даний момент в Україні є їхній офіс"
airbnb,https://www.forbes.com/sites/suzannerowankelleher/2022/03/02/airbnb-european-hosts-ukraine/?sh=802a518706e2&utm_medium=social&utm_campaign=socialflowForbesMainLI&utm_source=ForbesMainLinkedIn,Appartments,Надасть безкоштовне короткострокове житло для 100 000 українських біженців
Stripe,stripe.com,Payments,"Надає програмне забезпечення та API Stripe для прийому платежів, відправки виплат та управління своїм бізнесом в Інтернеті."
Coursera,https://blog.coursera.org/coursera-response-to-the-humanitarian-crisis-in-ukraine/,Education,"Призупиняє весь бізнес в Росії. Підтримка студеньів в Україні: 
•        Ми співпрацюємо з Міністерством освіти і науки України, щоб запропонувати Coursera for Campus безкоштовно всім українським вищим навчальним закладам та їхнім студентам. Університети та коледжі в Україні можуть зареєструватися, щоб надати всім зарахованим студентам доступ до більш ніж 5200 курсів та 2200 проектів з покроковими інструкціями від провідних університетів та галузевих партнерів Coursera.
•        Наша програма Coursera for Refugees доступна безкоштовно для некомерційних організацій у всьому світі, у тому числі для тих, хто активно працює на підтримку українських біженців, таких як Управління Верховного комісара ООН у справах біженців та Міжнародний комітет порятунку. Щоб дізнатися більше про те, як зареєструватися, завітайте на сайт escape.coursera.org
•        Для осіб, які переходять на платформу Coursera, більшість курсів безкоштовні для аудиту, а учні, які демонструють фінансові потреби, можуть отримати фінансову допомогу або відмовитися від стипендії через Coursera. Щоб подати заявку, натисніть на посилання «Доступна фінансова допомога» на сторінці опису курсу
"
Caspio,https://www.caspio.com/caspio-stands-with-ukraine/,No Code,"Caspio пропонує безкоштовну платформу для розробки програм без коду для всіх, хто може створювати програми, які допомагають Україні та кризі з українськими біженцями.А також допомагає своїм колегам у важкий час, які проживають на території України"
Fibery,https://www.linkedin.com/posts/fibery_41-solidarity-with-ukraine-in-feb-2022-activity-6904715540946837504-fbJx/?utm_source=linkedin_share&utm_medium=member_desktop_web,Product Management,Сервіс для управління командами та створення інструментів для оптимізації робочого процесу у компанії.
Survey Kiwi,https://surveykiwi.com/,Survey,"Survey Kiwi – це платформа для опитувань, готових для мобільних пристроїв. Він не залежить від пристрою та надає споживачам винагороду за завершені опитування."
Press Hunt,presshunt.co,Press Releases,Сама найбільша база журналістів та їх контактні дані.
